Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
TR1692,Tracteur MAN TGX 18.510 XLX,915 477 km,29/06/2021,Gazoil,MAN,480,FRANCE,22700,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11075592-photo-tracteur_th.jpg,7.1 Tonnes,18 Tonnes,4x2,420,Occasion
TR1696,Tracteur Mercedes Actros 1845,498 159 km,28/09/2017,Gazoil,Mercedes,18.440,FRANCE,9750,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11073302-photo-tracteur_th.jpg,25.39 Tonnes,60 Tonnes,4x2,509,Occasion
U6.41,Tracteur DAF XF 480,643 637 km,14/11/2018,Gazoil,DAF,1835 LS,FRANCE,28900,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11070745-photo-tracteur_th.jpg,8.82 Tonnes,26 Tonnes,4x2,399,Occasion
70312437,Tracteur Scania R 520,638 957 km,18/07/2014,Gazoil,Scania,450 EEV,FRANCE,27230,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11065464-photo-tracteur_th.jpg,9.1 Tonnes,18 Tonnes,4x2,399,Occasion
70311622,Tracteur Iveco Stralis,473 667 km,01/01/2010,Gazoil,Iveco,450,FRANCE,8800,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11058703-photo-tracteur_th.jpg,12.73 Tonnes,18 Tonnes,4x2,500,Occasion
70312440,Tracteur Renault T-Series 460,544 604 km,01/04/2015,Gazoil,Renault,440,FRANCE,30400,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11058603-photo-tracteur_th.jpg,13.63 Tonnes,18 Tonnes,4x2,399,Occasion
70313423,Tracteur Renault T-Series,796 744 km,01/01/2023,Gazoil,Renault,460,FRANCE,27700,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11051084-photo-tracteur_th.jpg,8.87 Tonnes,18 Tonnes,4x2,459,Occasion
70313421,Tracteur Renault T-Series 480,610 095 km,01/01/2023,Gazoil,Renault,500,FRANCE,55900,BCA, IlleetVilaine,https://photo.static-viamobilis.com/31/1/11050993-photo-tracteur_th.jpg,8.23 Tonnes,18 Tonnes,4x2,450,Occasion
70313427,Tracteur Volvo FH 500 globe hydraulic ACC Full options,696 711 km,02/01/2020,Gazoil,Volvo,1845,FRANCE,24900,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/11166627_th.jpg,8.91 Tonnes,18 Tonnes,4x2,459,Occasion
70313438,Tracteur Mercedes Actros 1845 5x mirrorcam chassis 2021 2 tanks,649 390 km,01/01/2021,Gazoil,Mercedes,450,FRANCE,68900,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/11136615_th.jpg,8.23 Tonnes,18 Tonnes,4x2,448,Occasion
70315304,Tracteur Mercedes Actros 1845 2 tanks mirrorcam 5x chasis 2021 EZ 10/2020,1 km,29/10/2020,Gazoil,Mercedes,1845,FRANCE,60400,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/11112414_th.jpg,9.67 Tonnes,18 Tonnes,4x2,459,Occasion
70315330,Tracteur MAN FE 27.414 6x6 417'km,703 004 km,07/03/2001,Gazoil,MAN,450,FRANCE,9000,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/11102645_th.jpg,3.06 Tonnes,18 Tonnes,4x4,500,Occasion
70298722,Tracteur Renault T 480 2 tanks,608 868 km,20/02/2017,Gazoil,Renault,400,FRANCE,8750,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/11097212_th.jpg,7.82 Tonnes,18 Tonnes,4x2,509,Occasion
70298721,Tracteur Volvo FMX 450 retarder hydraulic 423'kmcg franx,561 532 km,09/09/2013,Gazoil,Volvo,18.530,FRANCE,19950,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/11097211_th.jpg,8.25 Tonnes,18 Tonnes,6x6,480,Occasion
70300369,Tracteur Renault C 460 intarder hydraulic,820 441 km,28/08/2014,Gazoil,Renault,1843,FRANCE,19900,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/11081166_th.jpg,7.56 Tonnes,18 Tonnes,4x2,460,Occasion
68b9b5fef0613758a39afa3a,Tracteur Volvo FH 500 683'km TOP hydraulic,1 234 593 km,31/03/2011,Gazoil,Volvo,1843,FRANCE,12900,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10994428_th.jpg,8.24 Tonnes,18 Tonnes,4x2,460,Occasion
698482365780fcddfd84fad5,Tracteur Scania R 500 Topline facelift,529 135 km,16/07/2004,Gazoil,Scania,530,FRANCE,41850,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10982497_th.jpg,13.55 Tonnes,18 Tonnes,4x4,480,Occasion
69899c405780fcddfd8e1235,Tracteur Scania R 580 etarder,653 193 km,08/03/2016,Gazoil,Scania,480,FRANCE,12950,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10976551_th.jpg,7.28 Tonnes,18 Tonnes,4x4,361,Occasion
774612,Tracteur Volvo FH 500 Globe hydraulic,730 440 km,26/09/2014,Gazoil,Volvo,420 DCI,FRANCE,16950,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10914016_th.jpg,7.12 Tonnes,18 Tonnes,4x4,451,Occasion
019ce7cd-91b1-7ed4-a3f2-1090bd8a6045,Tracteur Scania R R 580 Showtruck A options,802 650 km,04/02/2016,Gazoil,Scania,18.440,FRANCE,12900,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10913145_th.jpg,7.22 Tonnes,18 Tonnes,4x2,451,Occasion
019ce2b9-51ba-74e4-877c-7d167a6161c2,Tracteur Volvo FH 480 GlobeXl manual 617'km belgium truck,104 328 km,10/07/2006,Gazoil,Volvo,480,FRANCE,19900,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10579626_th.jpg,8.02 Tonnes,18 Tonnes,4x2,501,Occasion
T6403,Tracteur convoi exceptionnel Mercedes Arocs,547 279 km,31/03/2017,Gazoil,Mercedes,18.440 XXL,FRANCE,21950,SELECTRUCKS PAUL KROELY VI, MeurtheetMoselle,https://photo.static-viamobilis.com/31/1/10004018-photo-tracteur_th.jpg,7.92 Tonnes,18 Tonnes,4x2,361,Occasion
NH3933,Tracteur Scania R 560 manual retarder,405 264 km,12/05/2011,Gazoil,Scania,18.580 XXL,FRANCE,10850,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10572520_th.jpg,8.38 Tonnes,18 Tonnes,4x2,451,Occasion
019ce7c3-3818-77d2-8267-36bd3992cc30,Tracteur Volvo F6 FH 460 Globetrotter I parcool hydraulic,768 662 km,01/03/2017,Gazoil,Volvo,480,FRANCE,29950,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10568698_th.jpg,7.82 Tonnes,18 Tonnes,4x4,361,Occasion
EL24885,Tracteur Mercedes Actros 2653,676 198 km,28/03/2018,Gazoil,Mercedes,480 T4X2 13L E6,FRANCE,48850,SELECTRUCKS PAUL KROELY VI, MeurtheetMoselle,https://photo.static-viamobilis.com/31/1/9916578-photo-tracteur_th.jpg,8.33 Tonnes,32.5 Tonnes,4x2,731,Occasion
GZ49954,Tracteur Mercedes Actros 1843 LS,1 015 927 km,14/05/2019,Gazoil,Mercedes,480,FRANCE,19950,SELECTRUCKS PAUL KROELY VI, MeurtheetMoselle,https://photo.static-viamobilis.com/31/1/9398706-photo-tracteur_th.jpg,8.12 Tonnes,18 Tonnes,6x2,460,Occasion
745N,Tracteur Mercedes Actros 1843 LS,582 000 km,26/11/2018,Gazoil,Mercedes,164G480,FRANCE,7950,SELECTRUCKS PAUL KROELY VI, MeurtheetMoselle,https://photo.static-viamobilis.com/31/1/8789231-photo-tracteur_th.jpg,8.27 Tonnes,18 Tonnes,4x2,355,Occasion
RE01127,Tracteur Scania R 580 Full options/full air showtruck,1 409 552 km,14/03/2017,Gazoil,Scania,380,FRANCE,39950,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10564813_th.jpg,8.55 Tonnes,18 Tonnes,4x2,476,Occasion
TAG10,Tracteur Renault T 520 6x2 intarder,539 067 km,21/02/2014,Gazoil,Renault,490,FRANCE,36900,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10560913_th.jpg,7.92 Tonnes,18 Tonnes,4x2,361,Occasion
VO10/26,Tracteur Renault Premium 460 intarder,601 700 km,14/06/2012,Gazoil,Renault,520,FRANCE,19950,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10472253_th.jpg,7.99 Tonnes,18 Tonnes,4x2,449,Occasion
VO/05,Tracteur Scania Torpedo T 144 460,585 417 km,12/07/1999,Gazoil,Scania,500,FRANCE,7950,SMZ Clermont Ferrand, PuydeDôme,https://photo.static-viamobilis.com/31/1/10306859_th.jpg,6.94 Tonnes,26 Tonnes,4x2,510,Occasion
SIT_2521JLJ,Tracteur DAF 480 FT XF 480 2021r Low Deck,580 505 km,01/01/2021,Gazoil,DAF,500 Globetrotter,POLOGNE,17900,TRUCK OUTLET, Mazowieckie,https://photo.static-viamobilis.com/31/1/10826962_th.jpg,8.01 Tonnes,18 Tonnes,4x2,479,Occasion
SIT_490/22,Tracteur MAN TGX TGX 18.460 XLX Retarder MOTORSCHADEN !,120 761 km,01/10/2018,Gazoil,MAN,460,ALLEMAGNE,19950,YOURTRUCKS GmbH, NordrheinWestfalen,https://photo.static-viamobilis.com/31/1/7254308_th.jpg,7.84 Tonnes,18 Tonnes,4x4,479,Occasion
SIT_3587KFY,Tracteur Volvo FH 460 *Globetrotter*Vollspoiler*Euro 6c*,765 396 km,01/08/2018,Gazoil,Volvo,520 T4X2 E6,ALLEMAGNE,9950,DEMA GmbH & Co. KG, BadenWürttemberg,https://photo.static-viamobilis.com/31/1/11052886_th.jpg,8.28 Tonnes,18 Tonnes,4x2,450,Occasion
