Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
475,Tracteur Renault T-High 480 T4X2 E6,189 065 km,21/10/2022,Gazoil,Renault,520 T4X2 E6,FRANCE,1744,RENAULT TRUCKS GRAND LYON CORBAS, Rhône,https://photo.static-viamobilis.com/31/1/11046598-photo-tracteur_th.jpg,10.12 Tonnes,19 Tonnes,4x2,460,Occasion
0001779260,Tracteur Renault T-Series 480 T4X2 E6,257 979 km,04/01/2022,Gazoil,Renault,500,FRANCE,1996,RENAULT TRUCKS GRAND LYON CORBAS, Rhône,https://photo.static-viamobilis.com/31/1/11137521-photo-tracteur_th.jpg,8.29 Tonnes,19 Tonnes,4x2,460,Occasion
vs_20241104.09,Tracteur Renault T-Series 480 T4X2 E6,415 970 km,01/08/2022,Gazoil,Renault,490,FRANCE,1876,RENAULT TRUCKS GRAND LYON CORBAS, Rhône,https://photo.static-viamobilis.com/31/1/11065190-photo-tracteur_th.jpg,8 Tonnes,19 Tonnes,4x2,500,Occasion
vs_20240829.07,Tracteur Renault C-Series 480,380 027 km,13/01/2022,Gazoil,Renault,540,FRANCE,1559,RENAULT TRUCKS GRAND LYON CORBAS, Rhône,https://photo.static-viamobilis.com/31/1/11090690-photo-tracteur_th.jpg,7.94 Tonnes,19 Tonnes,4x2,650,Occasion
SCANIA G490 CA4X2HSA KIT HYDRAULIQUE,Tracteur Renault T-Series 480,371 000 km,21/03/2022,Gazoil,Renault,520,FRANCE,1240,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11086078-photo-tracteur_th.jpg,7.89 Tonnes,19 Tonnes,4x2,500,Occasion
IVECO X-WAY 570 6x4 + Semi-remorque forestière DOLL LOGO 21 / Grue PALFINGER Epsilon L270,Tracteur Renault T-Series 480,314 000 km,13/04/2021,Gazoil,Renault,460 SSC,FRANCE,1000,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11131008-photo-tracteur_th.jpg,7.9 Tonnes,19 Tonnes,4x2,440,Occasion
MAN Tracteur TGX 18.500 KIT HYDRAULIQUE,Tracteur Renault T-Series 440,337 000 km,16/09/2019,Gazoil,Renault,420,FRANCE,1195,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11086079-photo-tracteur_th.jpg,8.06 Tonnes,19 Tonnes,4x2,440,Occasion
TD92415,Tracteur Renault T-Series 480,270 822 km,01/08/2022,Gazoil,Renault,380,FRANCE,795,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11157068-photo-tracteur_th.jpg,7.56 Tonnes,44 Tonnes,4x2,460,Occasion
AY 932 GM,Tracteur Renault T-Series 480,406 000 km,20/09/2021,Gazoil,Renault,500 Globetrotter,FRANCE,760,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11129371-photo-tracteur_th.jpg,10.2 Tonnes,19 Tonnes,4x2,460,Occasion
BJ 683 XN,Tracteur Renault T-Series 460,395 000 km,02/11/2020,Gazoil,Renault,AS440S40TP LNG,FRANCE,900,RENAULT TRUCKS GRAND PARIS MASSY, Essonne,https://photo.static-viamobilis.com/31/1/11129365-photo-tracteur_th.jpg,3.48 Tonnes,19 Tonnes,4x2,440,Occasion
MAGNUM 500DXI,Tracteur surbaissé Scania R 450,395 000 km,17/10/2017,GNL,Scania,480,FRANCE,1380,ST PREMIUM, Gironde,https://photo.static-viamobilis.com/31/1/11087952-photo-tracteur_th.jpg,8.49 Tonnes,19 Tonnes,6x6,600,Occasion
DP-858-MC,Tracteur DAF XF 510,430 000 km,04/04/2017,Gazoil,DAF,1948,FRANCE,1120,AUTO PIECE BURGUIERE, Aveyron,https://photo.static-viamobilis.com/31/1/9693564-photo-tracteur_th.jpg,7.77 Tonnes,19 Tonnes,4x2,500,Occasion - Accidenté
87,Tracteur Renault C-Series 480.19,161 000 km,20/01/2015,Gazoil,Renault,TGR 1846,FRANCE,1215,EASY LOCATION, MaineetLoire,https://photo.static-viamobilis.com/31/1/10902513-photo-tracteur_th.jpg,8.66 Tonnes,19 Tonnes,4x2,580,Occasion
13224,Tracteur Renault T-Series 480 T4X2 E6,272 000 km,27/11/2024,Gazoil,Renault,460,FRANCE,1420,EASY LOCATION, MaineetLoire,https://photo.static-viamobilis.com/31/1/11055763-photo-tracteur_th.jpg,7.69 Tonnes,18 Tonnes,4x2,480,Occasion
vs_20240912.11,Tracteur DAF 480 CF+56Ton+Big Axle+Intarder+Hydr.,371 000 km,04/04/2018,Gazoil,DAF,490,FRANCE,1100,BRAEM FRANCE SA, Nord,https://photo.static-viamobilis.com/31/1/11104350_th.jpg,7.98 Tonnes,19 Tonnes,4x2,430,Occasion
1717626,Tracteur DAF 480 XF TF (50T.),300 000 km,14/01/2020,Gazoil,DAF,450,FRANCE,1090,BRAEM FRANCE SA, Nord,https://photo.static-viamobilis.com/31/1/11158229_th.jpg,7.99 Tonnes,19 Tonnes,4x2,500,Occasion
