Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
XLRTEH4300G380689,Tracteur Renault T-Series 480,537715.0,2022-11-29,Gazoil,Renault,1845,FRANCE,1639,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,8.34,19.0,4x2,482.0,Occasion
XLRTEF5300G423890,Tracteur Renault T-Series 480,537715.0,2022-02-01,Gazoil,Renault,480,FRANCE,1474,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,8.27,19.0,4x2,482.0,Occasion
2978,Tracteur Mercedes E Actros II 1848 SreamSpace 2.5 m E6,318713.0,2022-09-22,Gazoil,Mercedes,460,FRANCE,1384,BPM PRO MERCEDES CAMIONS Rennes,IlleetVilaine,8.31,19.0,4x2,480.0,Occasion
169-GK634CR,Tracteur Renault T-Series T HIGH 480 T 4X2 Optidriver E6,570000.0,2022-12-13,Gazoil,Renault,AS 440 S 53 T/P,FRANCE,1669,BERNARD TRUCKS 69 VILLEFRANCHE SUR SAONE,Rhône,8.45,19.0,4x2,480.0,Occasion
169-GD648ZD,Tracteur DAF XF 530 SSC 2x Tanks | Leasing from €1669/ month,270000.0,2021-09-04,Gazoil,DAF,480,FRANCE,1977,SPARDEX,Nord,8.5,19.0,4x2,480.0,Occasion
169-GH445VW,Tracteur MAN TGX 18.470 4x2 | Leasing from €1977/month,670000.0,2021-06-29,Gazoil,MAN,480,FRANCE,1553,SPARDEX,Nord,8.53,19.0,4x2,480.0,Occasion
DJ492ZV,Tracteur Scania R 440,645670.0,2014-04-07,Gazoil,Scania,480,FRANCE,1800,DPL 21,Côted'Or,9.38,19.0,4x2,420.0,Occasion - Accidenté
15927,Tracteur convoi exceptionnel DAF 480 Super Space Cab XF,420000.0,2021-02-24,Gazoil,DAF,26.430,FRANCE,794,SYLTRAILER,PyrénéesOrientales,7.26,19.0,4x2,500.0,Occasion
IVECO X-WAY 490,Tracteur Renault T-Series 460,681815.0,2020-10-27,Gazoil,Renault,18.470,FRANCE,1138,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,8.14,19.0,4x2,540.0,Occasion
BQ 512 XD,Tracteur Renault T-Series,380564.0,2022-03-21,Gazoil,Renault,18.520,FRANCE,1207,Renault Trucks France – centre occasion Lyon,Rhône,8.51,19.0,4x2,459.0,Occasion
BH 233 WJ,Tracteur Iveco S-WAY 460 CNG,437754.0,2022-01-18,GNC,Iveco,480,FRANCE,648,PVA TRUCKS,LotetGaronne,8.53,19.0,4x2,450.0,Occasion
EA 709 VF,Tracteur Mercedes neuf Actros 1851 LS,287232.0,,Gazoil,Mercedes,1845,FRANCE,1669,MERCEDES-BENZ GROUPE CHOPARD ETOILE 21 VI,Côted'Or,7.54,19.0,6x4,480.0,Neuf
FC3077,Tracteur MAN TGX 18.510,283939.0,2022-12-02,Gazoil,MAN,410,FRANCE,1249,C.E.A.P.L,HauteVienne,7.91,19.0,4x2,480.0,Occasion - Accidenté
2941,Tracteur DAF XF 106 480,388487.0,2019-04-03,GNL,DAF,500,FRANCE,1172,MARTIN SEB CASSE PL SAS,CharenteMaritime,10.2,19.0,4x2,480.0,Occasion - Accidenté
26352,Tracteur Renault T-High 520 T4X2 E6,291853.0,2022-03-07,Gazoil,Renault,450,FRANCE,2036,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,7.84,33.0,4x2,460.0,Occasion
4887,Tracteur Renault T-Series 480,628610.0,2020-01-02,Gazoil,Renault,610,FRANCE,1420,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,7.98,19.0,4x2,500.0,Occasion
3968,Tracteur Renault T-Series 440,240513.0,2020-11-02,Gazoil,Renault,TGR 1846,FRANCE,2132,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,7.74,19.0,4x4,460.0,Occasion
475,Tracteur Renault T-High 480 T4X2 E6,189065.0,2022-10-21,Gazoil,Renault,520 T4X2 E6,FRANCE,1744,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,10.12,19.0,4x2,460.0,Occasion
0001779260,Tracteur Renault T-Series 480 T4X2 E6,257979.0,2022-01-04,Gazoil,Renault,500,FRANCE,1996,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,8.29,19.0,4x2,460.0,Occasion
vs_20241104.09,Tracteur Renault T-Series 480 T4X2 E6,415970.0,2022-08-01,Gazoil,Renault,490,FRANCE,1876,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,8.0,19.0,4x2,500.0,Occasion
vs_20240829.07,Tracteur Renault C-Series 480,380027.0,2022-01-13,Gazoil,Renault,540,FRANCE,1559,RENAULT TRUCKS GRAND LYON CORBAS,Rhône,7.94,19.0,4x2,650.0,Occasion
SCANIA G490 CA4X2HSA KIT HYDRAULIQUE,Tracteur Renault T-Series 480,371000.0,2022-03-21,Gazoil,Renault,520,FRANCE,1240,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,7.89,19.0,4x2,500.0,Occasion
IVECO X-WAY 570 6x4 + Semi-remorque forestière DOLL LOGO 21 / Grue PALFINGER Epsilon L270,Tracteur Renault T-Series 480,314000.0,2021-04-13,Gazoil,Renault,460 SSC,FRANCE,1000,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,7.9,19.0,4x2,440.0,Occasion
MAN Tracteur TGX 18.500 KIT HYDRAULIQUE,Tracteur Renault T-Series 440,337000.0,2019-09-16,Gazoil,Renault,420,FRANCE,1195,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,8.06,19.0,4x2,440.0,Occasion
TD92415,Tracteur Renault T-Series 480,270822.0,2022-08-01,Gazoil,Renault,380,FRANCE,795,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,7.56,44.0,4x2,460.0,Occasion
AY 932 GM,Tracteur Renault T-Series 480,406000.0,2021-09-20,Gazoil,Renault,500 Globetrotter,FRANCE,760,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,10.2,19.0,4x2,460.0,Occasion
BJ 683 XN,Tracteur Renault T-Series 460,395000.0,2020-11-02,Gazoil,Renault,AS440S40TP LNG,FRANCE,900,RENAULT TRUCKS GRAND PARIS MASSY,Essonne,3.48,19.0,4x2,440.0,Occasion
MAGNUM 500DXI,Tracteur surbaissé Scania R 450,395000.0,2017-10-17,GNL,Scania,480,FRANCE,1380,ST PREMIUM,Gironde,8.49,19.0,6x6,600.0,Occasion
DP-858-MC,Tracteur DAF XF 510,430000.0,2017-04-04,Gazoil,DAF,1948,FRANCE,1120,AUTO PIECE BURGUIERE,Aveyron,7.77,19.0,4x2,500.0,Occasion - Accidenté
87,Tracteur Renault C-Series 480.19,161000.0,2015-01-20,Gazoil,Renault,TGR 1846,FRANCE,1215,EASY LOCATION,MaineetLoire,8.66,19.0,4x2,580.0,Occasion
