Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Photo,Poids à vide,PTC,Essieux,Puissance,Etat
V7370,Tracteur Renault C-Series,634 038 km,--,Gazoil,Renault,460 DXI,FRANCE,Prix sur demande,FAURIE USED TRUCKS, Corrèze,https://photo.static-viamobilis.com/31/1/11115110_th.jpg,7.47 Tonnes,19 Tonnes,4x2,460,Occasion
FE935JV,Tracteur Volvo FMX 450,330 356 km,10/01/2011,Gazoil,Volvo,460,FRANCE,Prix sur demande,DPL 21, Côted'Or,https://photo.static-viamobilis.com/31/1/10568721_th.jpg,7.94 Tonnes,19 Tonnes,6x4,480,Occasion - Accidenté
ED863FT,Tracteur MAN TGS 33.440,376 322 km,10/02/2014,Gazoil,MAN,480,FRANCE,Prix sur demande,DPL 21, Côted'Or,https://photo.static-viamobilis.com/31/1/11065266_th.jpg,7.72 Tonnes,19 Tonnes,4x2,480,Occasion - Accidenté
DW424LB,Tracteur MAN TGX 18.510,937 000 km,05/05/2021,Gazoil,MAN,450 DXI,FRANCE,Prix sur demande,Garage POULALION, SeineetMarne,https://photo.static-viamobilis.com/31/1/11103776_th.jpg,7.79 Tonnes,18 Tonnes,4x2,410,Occasion
BH722GD,Tracteur Mercedes Actros 1845,635 000 km,02/11/2015,Gazoil,Mercedes,1843,FRANCE,Prix sur demande,Garage POULALION, SeineetMarne,https://photo.static-viamobilis.com/31/1/10742049_th.jpg,10.8 Tonnes,18 Tonnes,4x2,510,Occasion
77ON64,Tracteur Renault PR SREM PREMIUM 450 dxi,750 000 km,05/09/2007,Gazoil,Renault,540,FRANCE,Prix sur demande,Garage POULALION, SeineetMarne,https://photo.static-viamobilis.com/31/1/11091528_th.jpg,7.7 Tonnes,19 Tonnes,4x2,730,Occasion
DV825RA,Tracteur Scania,586 000 km,01/10/2009,Gazoil,Scania,480,FRANCE,Prix sur demande,RFCN, Marne,https://photo.static-viamobilis.com/31/1/9739891-photo-tracteur_th.jpg,7.42 Tonnes,26 Tonnes,4x2,450,Occasion
EF016SZ,Tracteur DAF XF105 510,873 000 km,11/03/2015,Gazoil,DAF,500,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10607144_th.jpg,8.34 Tonnes,19 Tonnes,4x2,34,Occasion
2604,Tracteur Volvo FH 500,230 450 km,04/06/2020,Gazoil,Volvo,440,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/10580134_th.jpg,7.74 Tonnes,19 Tonnes,4x2,480,Occasion
BR 793 RG,Tracteur Mercedes Actros 1843,618 000 km,20/01/2014,Gazoil,Mercedes,480,FRANCE,Prix sur demande,GUAINVILLE INTERNATIONAL, Yvelines,https://photo.static-viamobilis.com/31/1/9862259_th.jpg,19 Tonnes,19 Tonnes,4x2,612,Occasion
