Réf. client :,Description,Kilométrage,Date de 1ere immatriculation,Energie,Marque,Modèle,Pays,Prix,Vendeur,Localisation,Poids à vide,PTC,Essieux,Puissance,Etat
XLRTEH4300G390250,Tracteur DAF 480 XF FT 4X2,210100.0,2021-12-20,Gazoil,DAF,480,FRANCE,32800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.78,19.0,4x2,530.0,Occasion
XLRTEH4300G346336,Tracteur DAF 480 XFn FT 4X2,377340.0,2022-11-24,Gazoil,DAF,500,FRANCE,53700.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.64,19.0,4x2,482.0,Occasion
XLRTEH4300G384778,Tracteur DAF 480 XF FT 4X2,351688.0,2021-05-27,Gazoil,DAF,500,FRANCE,39900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7397.0,26.0,4x2,482.0,Occasion
XLRTEF5300G398588,Tracteur DAF 480 XF FT 4X2,403997.0,2022-03-23,Gazoil,DAF,460,FRANCE,45100.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,11.71,19.0,4x2,482.0,Occasion
XLRTEH4300G384545,Tracteur DAF 480 XF FT 4X2,412733.0,2021-04-14,Gazoil,DAF,450,FRANCE,32500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.66,19.0,4x2,482.0,Occasion
XLRTEH4300G356494,Tracteur DAF 480 XF FT 4X2,258577.0,2021-12-20,Gazoil,DAF,460.19,FRANCE,37000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.77,19.0,4x2,482.0,Occasion
XLRTEH4300G348707,Tracteur DAF XG 530 FT 4X2,388823.0,2022-06-13,Gazoil,DAF,480 FT,FRANCE,63700.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.7,19.0,4x2,482.0,Occasion
XLRTEF5300G397678,Tracteur DAF 480 XF FT 4X2,317561.0,2021-12-20,Gazoil,DAF,1843,FRANCE,30900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.31,44.0,4x2,482.0,Occasion
XLRTEH4300G398084,Tracteur DAF 480 XF FT 4X2,303113.0,2021-06-10,Gazoil,DAF,750,FRANCE,30900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.8,19.0,4x2,482.0,Occasion
XLRTEH4300G333942,Tracteur DAF 480 XF FT 4X2,201856.0,2021-04-06,Gazoil,DAF,480,FRANCE,30400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,530.0,Occasion
XLRTEH4300G356070,Tracteur DAF 480 XFn FT 4X2,219957.0,2022-04-07,Gazoil,DAF,500,FRANCE,54500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,530.0,Occasion
XLRTEM4300G299684,Tracteur DAF 480 XF FT 4X2,427972.0,2022-03-22,Gazoil,DAF,520,FRANCE,44000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEF5300G390125,Tracteur DAF 480 XF FT 4X2,763388.0,2020-12-10,Gazoil,DAF,1845,FRANCE,24300.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,6.9,19.0,4x2,482.0,Occasion
XLRTEH4300G383405,Tracteur DAF 480 XF FT 4X2,358263.0,2021-05-19,Gazoil,DAF,530 FT,FRANCE,39900.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.7,26.0,4x2,482.0,Occasion
XLRTEH4300G380334,Tracteur DAF 480 CF FT 4X2,557436.0,2020-02-03,Gazoil,DAF,620,FRANCE,17400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.08,19.0,4x2,530.0,Occasion
XLRTEH4300G341629,Tracteur DAF XG 530 FT 4X2,312536.0,2022-06-13,Gazoil,DAF,500,FRANCE,64200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,6.8,19.0,4x2,482.0,Occasion
XLRTEH4300G347780,Tracteur DAF XF 530 FT 4X2,449097.0,2022-02-14,Gazoil,DAF,500,FRANCE,38600.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.53,19.0,4x2,482.0,Occasion
XLRTEH4300G381853,Tracteur DAF 480 XF FT 4X2,577408.0,2021-12-16,Gazoil,DAF,500,FRANCE,33600.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.18,19.0,4x2,482.0,Occasion
XLRTEH4300G384907,Tracteur DAF 480 XF FT 4X2,422511.0,2021-03-03,Gazoil,DAF,GEN 2.0,FRANCE,36000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.68,19.0,4x2,482.0,Occasion
XLRTEF5300G399805,Tracteur DAF 480 XF FT 4X2,187137.0,2021-04-15,Gazoil,DAF,520,FRANCE,34500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.91,19.0,4x2,482.0,Occasion
XLRTEH4300G294664,Tracteur DAF XF 530 FT 4X2,403771.0,2022-01-11,Gazoil,DAF,560,FRANCE,39300.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,19.0,4x2,482.0,Occasion
XLRTEH4300G375926,Tracteur DAF 480 XF FT 4X2,264876.0,2021-12-20,Gazoil,DAF,18.500,FRANCE,37000.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.5,19.0,4x2,482.0,Occasion
XLRTEH4300G387532,Tracteur DAF 480 XFn FT 4X2,379751.0,2022-05-17,Gazoil,DAF,480,FRANCE,52600.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.98,19.0,4x2,482.0,Occasion
XLRTEF5300G418632,Tracteur DAF 480 XF FT 4X2,491995.0,2020-02-28,Gazoil,DAF,1845,FRANCE,24100.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7.33,19.0,4x2,482.0,Occasion
XLRTEH4300G334554,Tracteur DAF 480 XF FT 4X2,504653.0,2021-12-20,Gazoil,DAF,1845,FRANCE,32800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.23,19.0,4x2,482.0,Occasion
XLRTEH4300G296092,Tracteur DAF 480 XF FT 4X2,315334.0,2022-01-11,Gazoil,DAF,520,FRANCE,36400.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,7754.0,38.0,4x2,482.0,Occasion
XLRTEF5300G400535,Tracteur DAF 480 XFn FT 4X2,219126.0,2022-07-29,Gazoil,DAF,480,FRANCE,54500.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.03,19.0,4x2,530.0,Occasion
XLRTEF5300G411343,Tracteur DAF 480 XF FT 4X2,475476.0,2020-12-03,Gazoil,DAF,460 Globetrotter,FRANCE,30300.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,12.42,19.0,4x2,482.0,Occasion
XLRTEH4300G371486,Tracteur DAF 480 XF FT 4X2,368854.0,2020-07-08,Gazoil,DAF,510,FRANCE,24100.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,6.99,60.0,4x2,482.0,Occasion
XLRTEH4300G383494,Tracteur DAF 480 XFn FT 4X2,279041.0,2022-04-21,Gazoil,DAF,164R580,FRANCE,53200.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.39,18.0,4x2,482.0,Occasion
XLRTEH4300G384702,Tracteur DAF 480 XFn FT 4X2,255804.0,2022-06-21,Gazoil,DAF,480.19 DTI 13,FRANCE,53700.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,18.0,4x2,530.0,Occasion
XLRTEH4300G345306,Tracteur DAF 480 XF FT 4X2,382078.0,2021-12-01,Gazoil,DAF,18.480,FRANCE,36800.0,DAF Used Trucks France - Saint-Priest (Lyon),Rhône,8.0,180.0,4x2,530.0,Occasion
